Row No,Order ID,Invoice Date,Delivery Date,Client Name,Client Category,Credit Period,Credit End Date,Payment Receipt Date
30,IND-2012-104592,2012-04-11,2012-04-15,Customer224,P2,30,2012-05-15,2012-05-12
31,IND-2012-104593,2012-04-11,2012-04-13,Customer44,P2,30,2012-05-13,2012-05-16
32,IND-2012-104594,2012-04-12,2012-04-16,Customer198,P4,60,2012-06-15,2012-06-14
33,IND-2012-104595,2012-04-12,2012-04-20,Customer329,P3,45,2012-06-04,2012-06-06
34,IND-2012-104596,2012-04-12,2012-04-13,Customer185,P1,15,2012-04-28,2012-04-25
35,IND-2012-104597,2012-04-13,2012-04-17,Customer31,P2,30,2012-05-17,2012-05-21
36,IND-2012-104598,2012-04-13,2012-04-20,Customer240,P2,30,2012-05-20,2012-05-20
37,IND-2012-104599,2012-04-13,2012-04-23,Customer36,P2,30,2012-05-23,2012-05-21
38,IND-2012-104600,2012-04-14,2012-04-23,Customer293,P1,15,2012-05-08,2012-05-12
39,IND-2012-104601,2012-04-14,2012-04-18,Customer343,P3,45,2012-06-02,2012-05-28
40,IND-2012-104602,2012-04-14,2012-04-20,Customer113,P3,45,2012-06-04,2012-06-03
41,IND-2012-104603,2012-04-15,2012-04-23,Customer179,P3,45,2012-06-07,2012-06-09
42,IND-2012-104604,2012-04-15,2012-04-20,Customer169,P2,30,2012-05-20,2012-05-19
43,IND-2012-104605,2012-04-15,2012-04-20,Customer252,P4,60,2012-06-19,2012-06-16
44,SRI-2012-104606,2012-04-16,2012-04-24,Customer377,P3,45,2012-06-08,2012-06-10
45,SRI-2012-104607,2012-04-16,2012-04-24,Customer379,P1,15,2012-05-09,2012-05-04
46,SRI-2012-104608,2012-04-16,2012-04-19,Customer370,P4,60,2012-06-18,2012-06-13
47,SRI-2012-104609,2012-04-17,2012-04-19,Customer395,P4,60,2012-06-18,2012-06-19
48,SRI-2012-104610,2012-04-17,2012-04-21,Customer382,P3,45,2012-06-05,2012-06-09
49,SRI-2012-104611,2012-04-17,2012-04-22,Customer393,P4,60,2012-06-21,2012-06-16
50,IND-2012-104612,2012-04-18,2012-04-22,Customer311,P1,15,2012-05-07,2012-05-07
51,IND-2012-104613,2012-04-18,2012-04-20,Customer52,P4,60,2012-06-19,2012-06-16
52,IND-2012-104614,2012-04-18,2012-04-21,Customer203,P4,60,2012-06-20,2012-06-25
53,IND-2012-104615,2012-04-19,2012-04-27,Customer102,P4,60,2012-06-26,2012-06-26
54,IND-2012-104616,2012-04-19,2012-04-25,Customer18,P3,45,2012-06-09,2012-06-10
55,IND-2012-104617,2012-04-19,2012-04-22,Customer254,P3,45,2012-06-06,2012-06-08
56,IND-2012-104618,2012-04-20,2012-04-25,Customer241,P4,60,2012-06-24,2012-06-22
57,IND-2012-104619,2012-04-20,2012-04-27,Customer317,P4,60,2012-06-26,2012-06-26
58,IND-2012-104620,2012-04-20,2012-04-26,Customer110,P2,30,2012-05-26,2012-05-31
59,IND-2012-104621,2012-04-21,2012-04-24,Customer311,P1,15,2012-05-09,2012-05-09
60,SRI-2012-104622,2012-04-21,2012-04-25,Customer380,P4,60,2012-06-24,2012-06-23
61,IND-2012-104623,2012-04-21,2012-04-25,Customer152,P4,60,2012-06-24,2012-06-21
62,IND-2012-104624,2012-04-22,2012-04-30,Customer3,P3,45,2012-06-14,2012-06-10
63,IND-2012-104625,2012-04-22,2012-04-30,Customer277,P2,30,2012-05-30,2012-05-27
64,SRI-2012-104626,2012-04-22,2012-04-28,Customer378,P1,15,2012-05-13,2012-05-16
65,SRI-2012-104627,2012-04-23,2012-04-28,Customer346,P2,30,2012-05-28,2012-05-28
66,SRI-2012-104628,2012-04-23,2012-05-01,Customer390,P2,30,2012-05-31,2012-06-05
67,SRI-2012-104629,2012-04-23,2012-04-26,Customer361,P3,45,2012-06-10,2012-06-06
68,SRI-2012-104630,2012-04-24,2012-04-29,Customer380,P4,60,2012-06-28,2012-06-25
69,SRI-2012-104631,2012-04-24,2012-04-28,Customer376,P1,15,2012-05-13,2012-05-16
70,SRI-2012-104632,2012-04-24,2012-04-27,Customer346,P2,30,2012-05-27,2012-05-28
71,IND-2012-104633,2012-04-25,2012-04-27,Customer37,P2,30,2012-05-27,2012-05-22
72,IND-2012-104634,2012-04-25,2012-04-30,Customer147,P1,15,2012-05-15,2012-05-17
73,SRI-2012-104635,2012-04-25,2012-04-28,Customer389,P1,15,2012-05-13,2012-05-13
74,SRI-2012-104636,2012-04-26,2012-05-01,Customer394,P4,60,2012-06-30,2012-06-29
75,SRI-2012-104637,2012-04-26,2012-04-29,Customer386,P1,15,2012-05-14,2012-05-14
76,IND-2012-104638,2012-04-26,2012-05-05,Customer40,P3,45,2012-06-19,2012-06-21
77,IND-2012-104639,2012-04-27,2012-04-29,Customer33,P2,30,2012-05-29,2012-05-29
78,IND-2012-104640,2012-04-27,2012-05-03,Customer28,P1,15,2012-05-18,2012-05-15
79,IND-2012-104641,2012-04-27,2012-05-07,Customer85,P1,15,2012-05-22,2012-05-24
80,IND-2012-104642,2012-04-28,2012-05-06,Customer92,P1,15,2012-05-21,2012-05-23
81,IND-2012-104643,2012-04-28,2012-05-01,Customer75,P1,15,2012-05-16,2012-05-16
82,IND-2012-104644,2012-04-28,2012-05-03,Customer217,P2,30,2012-06-02,2012-06-05
83,IND-2012-104645,2012-04-29,2012-04-30,Customer165,P2,30,2012-05-30,2012-05-25
84,IND-2012-104646,2012-04-29,2012-05-04,Customer82,P1,15,2012-05-19,2012-05-19
85,IND-2012-104647,2012-04-29,2012-05-03,Customer117,P2,30,2012-06-02,2012-06-04
86,IND-2012-104648,2012-04-30,2012-05-08,Customer268,P3,45,2012-06-22,2012-06-21
87,IND-2012-104649,2012-04-30,2012-05-07,Customer255,P3,45,2012-06-21,2012-06-24
88,IND-2012-104650,2012-04-30,2012-05-10,Customer47,P1,15,2012-05-25,2012-05-22
89,IND-2012-104651,2012-05-01,2012-05-09,Customer75,P1,15,2012-05-24,2012-05-26
90,IND-2012-104652,2012-05-01,2012-05-03,Customer269,P1,15,2012-05-18,2012-05-19
91,IND-2012-104653,2012-05-01,2012-05-03,Customer308,P3,45,2012-06-17,2012-06-22
92,IND-2012-104654,2012-05-02,2012-05-03,Customer334,P3,45,2012-06-17,2012-06-14
93,IND-2012-104655,2012-05-02,2012-05-07,Customer274,P2,30,2012-06-06,2012-06-04
94,SRI-2012-104656,2012-05-02,2012-05-06,Customer350,P1,15,2012-05-21,2012-05-24
95,IND-2012-104657,2012-05-03,2012-05-12,Customer212,P3,45,2012-06-26,2012-06-24
96,IND-2012-104658,2012-05-03,2012-05-07,Customer188,P1,15,2012-05-22,2012-05-17
97,IND-2012-104659,2012-05-03,2012-05-05,Customer291,P4,60,2012-07-04,2012-06-30
98,IND-2012-104660,2012-05-04,2012-05-11,Customer204,P2,30,2012-06-10,2012-06-09
99,IND-2012-104661,2012-05-04,2012-05-05,Customer149,P4,60,2012-07-04,2012-07-07
100,IND-2012-104662,2012-05-04,2012-05-11,Customer289,P4,60,2012-07-10,2012-07-14
101,IND-2012-104663,2012-05-05,2012-05-14,Customer204,P2,30,2012-06-13,2012-06-08
102,IND-2012-104664,2012-05-05,2012-05-06,Customer255,P3,45,2012-06-20,2012-06-21
103,IND-2012-104665,2012-05-05,2012-05-11,Customer24,P1,15,2012-05-26,2012-05-29
104,IND-2012-104666,2012-05-06,2012-05-11,Customer272,P3,45,2012-06-25,2012-06-20
105,SRI-2012-104667,2012-05-06,2012-05-09,Customer357,P1,15,2012-05-24,2012-05-20
106,IND-2012-104668,2012-05-06,2012-05-07,Customer170,P1,15,2012-05-22,2012-05-17
107,IND-2012-104669,2012-05-07,2012-05-11,Customer191,P3,45,2012-06-25,2012-06-24
108,IND-2012-104670,2012-05-07,2012-05-13,Customer299,P3,45,2012-06-27,2012-06-25
109,IND-2012-104671,2012-05-07,2012-05-17,Customer246,P3,45,2012-07-01,2012-06-28
110,IND-2012-104672,2012-05-08,2012-05-14,Customer132,P3,45,2012-06-28,2012-06-25
111,IND-2012-104673,2012-05-08,2012-05-13,Customer207,P1,15,2012-05-28,2012-05-29
112,IND-2012-104674,2012-05-08,2012-05-17,Customer194,P2,30,2012-06-16,2012-06-15
113,IND-2012-104675,2012-05-09,2012-05-17,Customer189,P3,45,2012-07-01,2012-07-05
114,SRI-2012-104676,2012-05-09,2012-05-12,Customer368,P4,60,2012-07-11,2012-07-08
115,IND-2012-104677,2012-05-09,2012-05-16,Customer71,P2,30,2012-06-15,2012-06-12
116,IND-2012-104678,2012-05-10,2012-05-13,Customer53,P1,15,2012-05-28,2012-05-30
117,IND-2012-104679,2012-05-10,2012-05-19,Customer102,P4,60,2012-07-18,2012-07-21
118,IND-2012-104680,2012-05-10,2012-05-15,Customer80,P2,30,2012-06-14,2012-06-15
119,IND-2012-104681,2012-05-11,2012-05-14,Customer200,P2,30,2012-06-13,2012-06-13
120,IND-2012-104682,2012-05-11,2012-05-19,Customer318,P4,60,2012-07-18,2012-07-22
121,IND-2012-104683,2012-05-11,2012-05-19,Customer260,P2,30,2012-06-18,2012-06-14
122,IND-2012-104684,2012-05-12,2012-05-19,Customer321,P4,60,2012-07-18,2012-07-18
123,SRI-2012-104685,2012-05-12,2012-05-16,Customer374,P2,30,2012-06-15,2012-06-13
124,SRI-2012-104686,2012-05-12,2012-05-15,Customer387,P1,15,2012-05-30,2012-05-25
125,IND-2012-104687,2012-05-13,2012-05-20,Customer345,P2,30,2012-06-19,2012-06-15
126,IND-2012-104688,2012-05-13,2012-05-21,Customer37,P2,30,2012-06-20,2012-06-18
127,SRI-2012-104689,2012-05-13,2012-05-18,Customer365,P2,30,2012-06-17,2012-06-14
128,IND-2012-104690,2012-05-14,2012-05-24,Customer245,P3,45,2012-07-08,2012-07-07
129,IND-2012-104691,2012-05-14,2012-05-18,Customer166,P2,30,2012-06-17,2012-06-20
130,IND-2012-104692,2012-05-14,2012-05-18,Customer87,P1,15,2012-06-02,2012-05-29
131,IND-2012-104693,2012-05-15,2012-05-21,Customer147,P1,15,2012-06-05,2012-06-01
132,IND-2012-104694,2012-05-15,2012-05-25,Customer269,P1,15,2012-06-09,2012-06-07
133,IND-2012-104695,2012-05-15,2012-05-21,Customer56,P3,45,2012-07-05,2012-07-06
134,IND-2012-104696,2012-05-16,2012-05-23,Customer176,P1,15,2012-06-07,2012-06-07
135,IND-2012-104697,2012-05-16,2012-05-22,Customer167,P1,15,2012-06-06,2012-06-06
136,IND-2012-104698,2012-05-16,2012-05-21,Customer276,P1,15,2012-06-05,2012-06-04
137,IND-2012-104699,2012-05-17,2012-05-21,Customer313,P3,45,2012-07-05,2012-07-08
138,IND-2012-104700,2012-05-17,2012-05-22,Customer71,P2,30,2012-06-21,2012-06-23
139,IND-2012-104701,2012-05-17,2012-05-25,Customer101,P1,15,2012-06-09,2012-06-11
140,IND-2012-104702,2012-05-18,2012-05-24,Customer293,P1,15,2012-06-08,2012-06-07
141,IND-2012-104703,2012-05-18,2012-05-23,Customer18,P3,45,2012-07-07,2012-07-05
142,IND-2012-104704,2012-05-18,2012-05-28,Customer84,P3,45,2012-07-12,2012-07-10
143,IND-2012-104705,2012-05-19,2012-05-26,Customer104,P4,60,2012-07-25,2012-07-29
144,SRI-2012-104706,2012-05-19,2012-05-22,Customer392,P4,60,2012-07-21,2012-07-22
145,SRI-2012-104707,2012-05-19,2012-05-25,Customer348,P2,30,2012-06-24,2012-06-25
146,SRI-2012-104708,2012-05-20,2012-06-01,Customer388,P3,45,2012-07-16,2012-07-12
147,IND-2012-104709,2012-05-20,2012-05-24,Customer280,P4,60,2012-07-23,2012-07-21
148,IND-2012-104710,2012-05-20,2012-05-26,Customer113,P3,45,2012-07-10,2012-07-13
149,IND-2012-104711,2012-05-21,2012-05-25,Customer220,P2,30,2012-06-24,2012-06-29
150,IND-2012-104712,2012-05-21,2012-05-25,Customer156,P4,60,2012-07-24,2012-07-23
151,IND-2012-104713,2012-05-21,2012-05-22,Customer256,P1,15,2012-06-06,2012-06-08
152,IND-2012-104714,2012-05-22,2012-06-03,Customer252,P4,60,2012-08-02,2012-07-31
153,IND-2012-104715,2012-05-22,2012-05-27,Customer76,P2,30,2012-06-26,2012-06-24
154,IND-2012-104716,2012-05-22,2012-05-29,Customer196,P3,45,2012-07-13,2012-07-09
155,IND-2012-104717,2012-05-23,2012-05-30,Customer320,P4,60,2012-07-29,2012-07-24
156,IND-2012-104718,2012-05-23,2012-05-28,Customer129,P1,15,2012-06-12,2012-06-16
157,IND-2012-104719,2012-05-23,2012-05-30,Customer162,P2,30,2012-06-29,2012-07-03
158,IND-2012-104720,2012-05-24,2012-05-27,Customer239,P4,60,2012-07-26,2012-07-21
159,SRI-2012-104721,2012-05-24,2012-05-29,Customer370,P4,60,2012-07-28,2012-07-29
160,IND-2012-104722,2012-05-24,2012-05-31,Customer251,P1,15,2012-06-15,2012-06-16
161,IND-2012-104723,2012-05-25,2012-05-31,Customer217,P2,30,2012-06-30,2012-06-25
162,IND-2012-104724,2012-05-25,2012-05-28,Customer253,P3,45,2012-07-12,2012-07-09
163,IND-2012-104725,2012-05-25,2012-05-31,Customer250,P4,60,2012-07-30,2012-07-28
164,SRI-2012-104726,2012-05-26,2012-06-02,Customer394,P4,60,2012-08-01,2012-08-06
165,SRI-2012-104727,2012-05-26,2012-06-01,Customer356,P3,45,2012-07-16,2012-07-12
166,SRI-2012-104728,2012-05-26,2012-06-03,Customer380,P4,60,2012-08-02,2012-08-05
167,IND-2012-104729,2012-05-27,2012-06-02,Customer309,P3,45,2012-07-17,2012-07-17
168,IND-2012-104730,2012-05-27,2012-06-04,Customer228,P4,60,2012-08-03,2012-08-07
169,IND-2012-104731,2012-05-27,2012-06-03,Customer343,P3,45,2012-07-18,2012-07-20
170,IND-2012-104732,2012-05-28,2012-06-03,Customer94,P3,45,2012-07-18,2012-07-22
171,IND-2012-104733,2012-05-28,2012-05-29,Customer50,P3,45,2012-07-13,2012-07-16
172,IND-2012-104734,2012-05-28,2012-06-03,Customer298,P2,30,2012-07-03,2012-06-28
173,IND-2012-104735,2012-05-29,2012-06-03,Customer256,P1,15,2012-06-18,2012-06-19
174,SRI-2012-104736,2012-05-29,2012-06-01,Customer381,P4,60,2012-07-31,2012-07-29
175,IND-2012-104737,2012-05-29,2012-05-30,Customer237,P2,30,2012-06-29,2012-07-01
176,IND-2012-104738,2012-05-30,2012-06-05,Customer269,P1,15,2012-06-20,2012-06-18
177,SRI-2012-104739,2012-05-30,2012-06-04,Customer365,P2,30,2012-07-04,2012-07-04
178,IND-2012-104740,2012-05-30,2012-06-03,Customer291,P4,60,2012-08-02,2012-08-02
179,IND-2012-104741,2012-05-31,2012-06-03,Customer281,P3,45,2012-07-18,2012-07-17
180,IND-2012-104742,2012-05-31,2012-06-10,Customer177,P4,60,2012-08-09,2012-08-13
181,IND-2012-104743,2012-05-31,2012-06-04,Customer110,P2,30,2012-07-04,2012-06-30
182,IND-2012-104744,2012-06-01,2012-06-07,Customer225,P4,60,2012-08-06,2012-08-05
183,IND-2012-104745,2012-06-01,2012-06-04,Customer316,P1,15,2012-06-19,2012-06-17
184,IND-2012-104746,2012-06-01,2012-06-05,Customer32,P1,15,2012-06-20,2012-06-25
185,IND-2012-104747,2012-06-02,2012-06-09,Customer152,P4,60,2012-08-08,2012-08-04
186,IND-2012-104748,2012-06-02,2012-06-08,Customer25,P4,60,2012-08-07,2012-08-05
187,IND-2012-104749,2012-06-02,2012-06-08,Customer319,P1,15,2012-06-23,2012-06-18
188,IND-2012-104750,2012-06-03,2012-06-10,Customer120,P4,60,2012-08-09,2012-08-13
189,IND-2012-104751,2012-06-03,2012-06-06,Customer66,P1,15,2012-06-21,2012-06-21
190,IND-2012-104752,2012-06-03,2012-06-09,Customer327,P1,15,2012-06-24,2012-06-28
191,IND-2012-104753,2012-06-04,2012-06-15,Customer304,P3,45,2012-07-30,2012-07-27
192,IND-2012-104754,2012-06-04,2012-06-10,Customer281,P3,45,2012-07-25,2012-07-22
193,IND-2012-104755,2012-06-04,2012-06-07,Customer161,P3,45,2012-07-22,2012-07-25
194,IND-2012-104756,2012-06-05,2012-06-11,Customer224,P2,30,2012-07-11,2012-07-09
195,IND-2012-104757,2012-06-05,2012-06-08,Customer4,P3,45,2012-07-23,2012-07-18
196,IND-2012-104758,2012-06-05,2012-06-08,Customer336,P2,30,2012-07-08,2012-07-13
197,SRI-2012-104759,2012-06-06,2012-06-08,Customer381,P4,60,2012-08-07,2012-08-03
198,SRI-2012-104760,2012-06-06,2012-06-11,Customer384,P4,60,2012-08-10,2012-08-09
199,SRI-2012-104761,2012-06-06,2012-06-14,Customer385,P1,15,2012-06-29,2012-07-03
200,SRI-2012-104762,2012-06-07,2012-06-13,Customer359,P3,45,2012-07-28,2012-07-26
201,SRI-2012-104763,2012-06-07,2012-06-13,Customer386,P1,15,2012-06-28,2012-06-29
202,IND-2012-104764,2012-06-07,2012-06-12,Customer293,P1,15,2012-06-27,2012-07-01
203,IND-2012-104765,2012-06-08,2012-06-14,Customer147,P1,15,2012-06-29,2012-07-04
204,IND-2012-104766,2012-06-08,2012-06-18,Customer288,P2,30,2012-07-18,2012-07-21
205,SRI-2012-104767,2012-06-08,2012-06-15,Customer387,P1,15,2012-06-30,2012-07-04
206,SRI-2012-104768,2012-06-09,2012-06-17,Customer380,P4,60,2012-08-16,2012-08-11
207,SRI-2012-104769,2012-06-09,2012-06-16,Customer372,P4,60,2012-08-15,2012-08-14
208,SRI-2012-104770,2012-06-09,2012-06-15,Customer356,P3,45,2012-07-30,2012-07-27
209,SRI-2012-104771,2012-06-10,2012-06-14,Customer367,P2,30,2012-07-14,2012-07-18
210,IND-2012-104772,2012-06-10,2012-06-15,Customer151,P4,60,2012-08-14,2012-08-15
211,IND-2012-104773,2012-06-10,2012-06-15,Customer113,P3,45,2012-07-30,2012-08-04
212,IND-2012-104774,2012-06-11,2012-06-14,Customer345,P2,30,2012-07-14,2012-07-10
213,IND-2012-104775,2012-06-11,2012-06-14,Customer313,P3,45,2012-07-29,2012-08-01
214,IND-2012-104776,2012-06-11,2012-06-14,Customer120,P4,60,2012-08-13,2012-08-13
215,IND-2012-104777,2012-06-12,2012-06-19,Customer100,P4,60,2012-08-18,2012-08-14
216,IND-2012-104778,2012-06-12,2012-06-18,Customer100,P4,60,2012-08-17,2012-08-18
217,IND-2012-104779,2012-06-12,2012-06-19,Customer122,P3,45,2012-08-03,2012-07-29
218,IND-2012-104780,2012-06-13,2012-06-23,Customer156,P4,60,2012-08-22,2012-08-21
219,SRI-2012-104781,2012-06-13,2012-06-21,Customer373,P1,15,2012-07-06,2012-07-08
220,SRI-2012-104782,2012-06-13,2012-06-22,Customer376,P1,15,2012-07-07,2012-07-11
221,SRI-2012-104783,2012-06-14,2012-06-17,Customer358,P3,45,2012-08-01,2012-08-05
222,IND-2012-104784,2012-06-14,2012-06-17,Customer34,P4,60,2012-08-16,2012-08-17
223,IND-2012-104785,2012-06-14,2012-06-18,Customer4,P3,45,2012-08-02,2012-08-03
224,IND-2012-104786,2012-06-15,2012-06-22,Customer201,P3,45,2012-08-06,2012-08-09
225,IND-2012-104787,2012-06-15,2012-06-21,Customer311,P1,15,2012-07-06,2012-07-11
226,IND-2012-104788,2012-06-15,2012-06-19,Customer307,P3,45,2012-08-03,2012-08-04
227,IND-2012-104789,2012-06-16,2012-06-20,Customer194,P2,30,2012-07-20,2012-07-18
228,IND-2012-104790,2012-06-16,2012-06-23,Customer5,P3,45,2012-08-07,2012-08-09
229,IND-2012-104791,2012-06-16,2012-06-20,Customer10,P2,30,2012-07-20,2012-07-24
230,IND-2012-104792,2012-06-17,2012-06-23,Customer260,P2,30,2012-07-23,2012-07-18
231,SRI-2012-104793,2012-06-17,2012-06-23,Customer351,P2,30,2012-07-23,2012-07-18
232,IND-2012-104794,2012-06-17,2012-06-19,Customer98,P4,60,2012-08-18,2012-08-15
233,IND-2012-104795,2012-06-18,2012-06-23,Customer98,P4,60,2012-08-22,2012-08-24
234,IND-2012-104796,2012-06-18,2012-06-22,Customer335,P3,45,2012-08-06,2012-08-07
235,IND-2012-104797,2012-06-18,2012-06-25,Customer149,P4,60,2012-08-24,2012-08-27
236,IND-2012-104798,2012-06-19,2012-06-30,Customer254,P3,45,2012-08-14,2012-08-19
237,SRI-2012-104799,2012-06-19,2012-06-27,Customer346,P2,30,2012-07-27,2012-08-01
238,SRI-2012-104800,2012-06-19,2012-06-25,Customer388,P3,45,2012-08-09,2012-08-04
239,SRI-2012-104801,2012-06-20,2012-06-28,Customer394,P4,60,2012-08-27,2012-08-27
240,SRI-2012-104802,2012-06-20,2012-06-28,Customer370,P4,60,2012-08-27,2012-08-27
241,SRI-2012-104803,2012-06-20,2012-06-25,Customer367,P2,30,2012-07-25,2012-07-28
242,IND-2012-104804,2012-06-21,2012-06-27,Customer38,P1,15,2012-07-12,2012-07-10
243,IND-2012-104805,2012-06-21,2012-06-30,Customer38,P1,15,2012-07-15,2012-07-13
244,SRI-2012-104806,2012-06-21,2012-06-29,Customer390,P2,30,2012-07-29,2012-07-26
245,IND-2012-104807,2012-06-22,2012-06-27,Customer303,P1,15,2012-07-12,2012-07-11
246,IND-2012-104808,2012-06-22,2012-06-23,Customer151,P4,60,2012-08-22,2012-08-17
247,IND-2012-104809,2012-06-22,2012-06-27,Customer11,P4,60,2012-08-26,2012-08-30
248,IND-2012-104810,2012-06-23,2012-06-29,Customer197,P1,15,2012-07-14,2012-07-10
249,IND-2012-104811,2012-06-23,2012-06-29,Customer251,P1,15,2012-07-14,2012-07-14
250,IND-2012-104812,2012-06-23,2012-06-29,Customer319,P1,15,2012-07-14,2012-07-14
251,IND-2012-104813,2012-06-24,2012-06-29,Customer119,P4,60,2012-08-28,2012-08-27
252,IND-2012-104814,2012-06-24,2012-06-30,Customer49,P2,30,2012-07-30,2012-07-31
253,IND-2012-104815,2012-06-24,2012-06-27,Customer238,P2,30,2012-07-27,2012-07-30
254,IND-2012-104816,2012-06-25,2012-06-30,Customer343,P3,45,2012-08-14,2012-08-15
255,IND-2012-104817,2012-06-25,2012-07-03,Customer47,P1,15,2012-07-18,2012-07-20
256,IND-2012-104818,2012-06-25,2012-06-30,Customer25,P4,60,2012-08-29,2012-09-01
257,IND-2012-104819,2012-06-26,2012-07-03,Customer177,P4,60,2012-09-01,2012-09-02
258,IND-2012-104820,2012-06-26,2012-06-30,Customer12,P1,15,2012-07-15,2012-07-11
259,IND-2012-104821,2012-06-26,2012-07-01,Customer284,P1,15,2012-07-16,2012-07-16
260,SRI-2012-104822,2012-06-27,2012-07-02,Customer360,P4,60,2012-08-31,2012-09-05
261,SRI-2012-104823,2012-06-27,2012-07-02,Customer348,P2,30,2012-08-01,2012-07-31
262,IND-2012-104824,2012-06-27,2012-07-01,Customer242,P3,45,2012-08-15,2012-08-18
263,SRI-2012-104825,2012-06-28,2012-07-09,Customer388,P3,45,2012-08-23,2012-08-18
264,IND-2012-104826,2012-06-28,2012-07-01,Customer69,P2,30,2012-07-31,2012-08-02
265,IND-2012-104827,2012-06-28,2012-07-08,Customer317,P4,60,2012-09-06,2012-09-08
266,IND-2012-104828,2012-06-29,2012-07-02,Customer298,P2,30,2012-08-01,2012-08-05
267,IND-2012-104829,2012-06-29,2012-07-03,Customer96,P1,15,2012-07-18,2012-07-16
268,SRI-2012-104830,2012-06-29,2012-07-09,Customer356,P3,45,2012-08-23,2012-08-22
269,IND-2012-104831,2012-06-30,2012-07-05,Customer280,P4,60,2012-09-03,2012-08-29
270,IND-2012-104832,2012-06-30,2012-07-04,Customer310,P3,45,2012-08-18,2012-08-16
271,IND-2012-104833,2012-06-30,2012-07-06,Customer93,P2,30,2012-08-05,2012-08-07
272,IND-2012-104834,2012-07-01,2012-07-07,Customer152,P4,60,2012-09-05,2012-09-05
273,SRI-2012-104835,2012-07-01,2012-07-10,Customer353,P3,45,2012-08-24,2012-08-26
274,IND-2012-104836,2012-07-01,2012-07-04,Customer221,P1,15,2012-07-19,2012-07-15
275,IND-2012-104837,2012-07-02,2012-07-06,Customer121,P2,30,2012-08-05,2012-08-07
276,IND-2012-104838,2012-07-02,2012-07-10,Customer321,P4,60,2012-09-08,2012-09-11
277,SRI-2012-104839,2012-07-02,2012-07-09,Customer371,P4,60,2012-09-07,2012-09-02
278,SRI-2012-104840,2012-07-03,2012-07-11,Customer387,P1,15,2012-07-26,2012-07-25
279,IND-2012-104841,2012-07-03,2012-07-05,Customer44,P2,30,2012-08-04,2012-08-06
280,IND-2012-104842,2012-07-03,2012-07-07,Customer81,P3,45,2012-08-21,2012-08-22
281,IND-2012-104843,2012-07-04,2012-07-09,Customer192,P1,15,2012-07-24,2012-07-27
282,IND-2012-104844,2012-07-04,2012-07-11,Customer167,P1,15,2012-07-26,2012-07-27
