Country,Zone,Region,Territory,Product Category,Order Priority,Delivery Mode,Processing Time (days),Financial Year,Financial Month,Qty
India,Southern,Tamil Nadu,Chennai,Refrigerators,Low,Road,1,2012,4,46
India,Western,Gujarat,Rajkot,Air Coolers,Medium,Rail,0,2012,4,10
India,Northern,Jammu and Kashmir,Jammu,Air Conditioners,Medium,Rail,2,2012,4,20
India,Central,Uttar Pradesh,Kanpur,Air Coolers,Express,Air,1,2012,4,10
India,Northern,Jammu and Kashmir,Srinagar ,Air Conditioners,High,Air,0,2012,4,61
India,Southern,Telangana,Warangal,Water Dispensers,High,Air,2,2012,4,27
India,Southern,Karnataka,Bengaluru,Air Coolers,High,Air,3,2012,4,52
India,Northern,Haryana,Faridabad,Air Conditioners,Medium,Rail,0,2012,4,66
India,Southern,Tamil Nadu,Chennai,Air Conditioners,Express,Air,1,2012,4,71
India,North-Eastern,Assam,Dispur,Air Conditioners,Express,Air,1,2012,4,21
India,Southern,Karnataka,Mysore,Refrigerators,Low,Road,5,2012,4,66
India,Southern,Karnataka,Mysore,Air Coolers,High,Air,0,2012,4,17
India,Eastern,West Bengal,Kolkata,Air Coolers,Express,Air,1,2012,4,57
India,Southern,Kerala,Malappuram,Air Conditioners,Low,Road,0,2012,4,42
India,Northern,Delhi,New Delhi,Air Conditioners,Medium,Rail,5,2012,4,23
India,Northern,Punjab,Ludhiana,Air Conditioners,Medium,Rail,5,2012,4,17
India,Western,Goa,Panjim,Air Conditioners,Express,Air,3,2012,4,7
India,Western,Maharashtra,Nagpur,Air Conditioners,Express,Air,3,2012,4,53
India,Northern,Delhi,New Delhi,Refrigerators,Medium,Rail,5,2012,4,50
India,Western,Gujarat,Vadodara,Air Conditioners,High,Air,2,2012,4,54
India,Northern,Rajasthan,Jodhpur,Air Coolers,Low,Road,2,2012,4,23
India,Western,Maharashtra,Pune,Air Coolers,Medium,Rail,0,2012,4,38
India,Southern,Karnataka,Mangalore,Air Conditioners,Express,Air,0,2012,4,18
India,Southern,Telangana,Nizamabad,Air Coolers,Express,Air,1,2012,4,17
India,North-Eastern,Nagaland,Kohima,Refrigerators,Low,Road,2,2012,4,41
India,Western,Gujarat,Surat,Air Coolers,Medium,Rail,4,2012,4,70
India,Western,Maharashtra,Nashik,Water Dispensers,High,Air,2,2012,4,26
India,Northern,Jammu and Kashmir,Jammu,Refrigerators,Low,Road,2,2012,4,24
India,Central,Uttarakhand,Roorkee,Refrigerators,Medium,Rail,5,2012,4,58
India,Northern,Punjab,Ludhiana,Air Conditioners,Express,Air,4,2012,4,78
India,Western,Maharashtra,Pune,Air Conditioners,High,Air,1,2012,4,46
India,Northern,Delhi,New Delhi,Air Conditioners,High,Air,1,2012,4,26
India,North-Eastern,Assam,Guwahati,Air Conditioners,Medium,Rail,4,2012,4,77
India,Eastern,West Bengal,Asansol,Water Dispensers,Low,Road,5,2012,4,31
India,Central,Uttar Pradesh,Lucknow,Air Conditioners,Express,Air,1,2012,4,71
India,Western,Gujarat,Surat,Air Conditioners,Express,Air,4,2012,4,6
India,Southern,Andhra Pradesh,Visakhapatnam,Air Conditioners,Medium,Rail,5,2012,4,61
India,Western,Gujarat,Vadodara,Air Purifiers,Express,Air,0,2012,4,78
India,Southern,Puducherry,Puducherry,Air Purifiers,Express,Air,5,2012,4,26
India,Southern,Karnataka,Bengaluru,Refrigerators,Medium,Rail,5,2012,4,58
India,Southern,Kerala,Thrissur,Air Coolers,Low,Road,3,2012,4,54
India,North-Eastern,Arunachal Pradesh,Itanagar,Air Coolers,High,Air,2,2012,4,26
India,Southern,Kerala,Thiruvananthapuram,Refrigerators,Medium,Rail,3,2012,4,42
India,North-Eastern,Manipur,Imphal,Refrigerators,High,Air,0,2012,4,17
India,Southern,Kerala,Malappuram,Air Coolers,High,Air,4,2012,4,40
India,North-Eastern,Nagaland,Kohima,Refrigerators,High,Air,2,2012,4,69
India,Central,Uttarakhand,Roorkee,Refrigerators,Low,Road,4,2012,4,15
India,Western,Gujarat,Rajkot,Air Conditioners,Low,Road,0,2012,4,48
India,Central,Chhattisgarh,Durg,Refrigerators,Low,Road,5,2012,4,65
India,North-Eastern,Arunachal Pradesh,Itanagar,Water Dispensers,Low,Road,3,2012,5,30
India,Southern,Lakshadweep,Kavaratti,Air Coolers,Express,Air,1,2012,5,10
India,Southern,Tamil Nadu,Tiruchirappalli,Air Coolers,Express,Air,0,2012,5,46
India,Northern,Rajasthan,Bikaner,Refrigerators,Express,Air,0,2012,5,54
India,Northern,Haryana,Faridabad,Air Coolers,High,Air,3,2012,5,50
India,Southern,Andhra Pradesh,Vijayawada,Air Conditioners,Low,Road,4,2012,5,44
India,Western,Gujarat,Vadodara,Refrigerators,Low,Road,0,2012,5,32
India,Southern,Karnataka,Mangalore,Water Dispensers,High,Air,1,2012,5,64
India,Central,Madhya Pradesh,Indore,Water Dispensers,High,Air,4,2012,5,39
India,Southern,Karnataka,Bengaluru,Air Conditioners,High,Air,0,2012,5,54
India,Southern,Andhra Pradesh,Visakhapatnam,Air Conditioners,Medium,Rail,3,2012,5,59
India,Central,Madhya Pradesh,Indore,Air Conditioners,Low,Road,5,2012,5,33
India,Western,Gujarat,Rajkot,Water Dispensers,Express,Air,0,2012,5,9
India,Central,Uttar Pradesh,Lucknow,Refrigerators,Medium,Rail,2,2012,5,32
India,Southern,Andhra Pradesh,Hyderabad,Refrigerators,High,Air,4,2012,5,73
India,Central,Chhattisgarh,Bilaspur,Air Conditioners,Express,Air,0,2012,5,48
India,Central,Chhattisgarh,Bilaspur,Air Conditioners,Express,Air,3,2012,5,78
India,Southern,Tamil Nadu,Chennai,Air Coolers,Medium,Rail,4,2012,5,32
India,North-Eastern,Arunachal Pradesh,Tawang,Air Purifiers,Medium,Rail,5,2012,5,31
India,Northern,Haryana,Gurgaon,Water Dispensers,High,Air,3,2012,5,58
India,Central,Madhya Pradesh,Bhopal,Air Conditioners,Express,Air,2,2012,5,8
India,Southern,Telangana,Nizamabad,Air Conditioners,Low,Road,5,2012,5,47
India,Southern,Kerala,Thrissur,Refrigerators,Low,Road,1,2012,5,16
India,Central,Uttar Pradesh,Agra ,Air Conditioners,Express,Air,5,2012,5,28
India,Northern,Haryana,Sonipat,Air Conditioners,Express,Air,2,2012,5,47
India,North-Eastern,Nagaland,Kohima,Air Coolers,Low,Road,2,2012,5,11
India,Northern,Himachal Pradesh,Shimla,Refrigerators,Express,Air,3,2012,5,34
India,Northern,Haryana,Gurgaon,Air Purifiers,Express,Air,1,2012,5,30
India,Central,Madhya Pradesh,Indore,Air Coolers,Low,Road,4,2012,5,70
India,Northern,Rajasthan,Ajmer,Refrigerators,High,Air,5,2012,5,24
India,Western,Goa,Panjim,Water Dispensers,Medium,Rail,4,2012,5,6
India,Central,Madhya Pradesh,Jabalpur,Water Dispensers,Low,Road,2,2012,5,73
India,Central,Uttar Pradesh,Lucknow,Air Coolers,Low,Road,2,2012,5,20
India,North-Eastern,Tripura,Agartala,Water Dispensers,Medium,Rail,5,2012,5,30
India,Northern,Rajasthan,Jodhpur,Refrigerators,High,Air,3,2012,5,8
India,Northern,Jammu and Kashmir,Srinagar ,Air Coolers,Medium,Rail,1,2012,5,71
India,Western,Gujarat,Surat,Refrigerators,Low,Road,2,2012,5,70
India,Southern,Lakshadweep,Kavaratti,Air Coolers,Medium,Rail,5,2012,5,77
India,North-Eastern,Assam,Guwahati,Air Coolers,High,Air,4,2012,5,47
India,North-Eastern,Manipur,Imphal,Water Dispensers,Express,Air,4,2012,5,6
India,Northern,Punjab,Patiala ,Water Dispensers,High,Air,5,2012,5,54
India,Eastern,West Bengal,Darjiling,Air Coolers,High,Air,3,2012,5,58
India,Central,Uttarakhand,Haridwar,Air Coolers,Medium,Rail,2,2012,5,70
India,Central,Uttar Pradesh,Agra ,Air Coolers,High,Air,4,2012,5,31
India,Central,Uttar Pradesh,Agra ,Air Conditioners,Low,Road,1,2012,5,34
India,Northern,Punjab,Ludhiana,Air Coolers,Express,Air,5,2012,5,48
India,Western,Gujarat,Surat,Refrigerators,Express,Air,2,2012,5,74
India,Southern,Kerala,Thiruvananthapuram,Air Coolers,Medium,Rail,5,2012,5,21
India,North-Eastern,Arunachal Pradesh,Tawang,Refrigerators,Medium,Rail,2,2012,5,40
India,Southern,Andhra Pradesh,Tirupati,Water Dispensers,Medium,Rail,0,2012,5,35
India,Western,Maharashtra,Nagpur,Refrigerators,Express,Air,3,2012,5,7
India,Eastern,Odisha,Puri ,Refrigerators,High,Air,3,2012,5,34
India,Eastern,West Bengal,Asansol,Air Coolers,Medium,Rail,1,2012,5,35
India,Southern,Kerala,Thrissur,Air Conditioners,High,Air,0,2012,5,58
India,Northern,Rajasthan,Jodhpur,Air Coolers,Low,Road,5,2012,5,35
India,Central,Uttarakhand,Roorkee,Air Coolers,High,Air,4,2012,5,50
India,Northern,Himachal Pradesh,Dharmshala,Air Purifiers,High,Air,4,2012,5,79
India,Eastern,West Bengal,Asansol,Refrigerators,High,Air,4,2012,5,49
India,Southern,Andaman and Nicobar Islands,Port Blair,Refrigerators,High,Air,4,2012,5,78
India,Eastern,Odisha,Bhubaneshwar,Water Dispensers,Express,Air,5,2012,5,69
India,Central,Madhya Pradesh,Gwalior,Refrigerators,High,Air,1,2012,5,65
India,Eastern,Jharkhand,Ranchi,Air Conditioners,Express,Air,4,2012,5,55
India,Southern,Kerala,Thiruvananthapuram,Air Conditioners,High,Air,3,2012,5,27
India,Eastern,West Bengal,Asansol,Air Coolers,Express,Air,2,2012,5,70
India,Central,Uttar Pradesh,Noida,Air Coolers,Low,Road,1,2012,5,21
India,Western,Maharashtra,Nashik,Refrigerators,Medium,Rail,1,2012,5,35
India,North-Eastern,Tripura,Agartala,Air Purifiers,Low,Road,4,2012,5,22
India,Western,Goa,Panjim,Refrigerators,Medium,Rail,3,2012,5,68
India,Eastern,West Bengal,Asansol,Air Conditioners,Express,Air,5,2012,5,8
India,Western,Dadra and Nagar Haveli and Daman and Diu,Daman,Water Dispensers,High,Air,0,2012,5,41
India,Northern,Rajasthan,Ajmer,Water Dispensers,Express,Air,3,2012,5,75
India,Southern,Kerala,Thrissur,Air Conditioners,Medium,Rail,3,2012,5,48
India,Northern,Haryana,Sonipat,Refrigerators,High,Air,0,2012,5,32
India,Southern,Lakshadweep,Kavaratti,Refrigerators,Medium,Rail,2,2012,5,39
India,Southern,Karnataka,Mangalore,Water Dispensers,Medium,Rail,0,2012,5,11
India,Northern,Delhi,New Delhi,Air Coolers,Medium,Rail,0,2012,5,38
India,Northern,Ladakh,Leh,Air Purifiers,Low,Road,3,2012,5,71
India,Northern,Punjab,Ludhiana,Air Coolers,Medium,Rail,0,2012,5,38
India,Eastern,Odisha,Cuttack,Refrigerators,Medium,Rail,2,2012,6,26
India,Western,Gujarat,Gandhinagar,Air Coolers,Express,Air,2,2012,6,5
India,Northern,Chandigarh,Chandigarh,Air Conditioners,Express,Air,1,2012,6,10
India,Northern,Delhi,New Delhi,Air Conditioners,Low,Road,1,2012,6,53
India,Eastern,Odisha,Cuttack,Air Conditioners,Low,Road,0,2012,6,6
India,Eastern,Bihar,Darbhanga ,Air Coolers,High,Air,4,2012,6,67
India,Southern,Kerala,Kochi,Refrigerators,Low,Road,1,2012,6,72
India,Northern,Delhi,New Delhi,Refrigerators,High,Air,1,2012,6,46
India,Southern,Kerala,Thrissur,Air Conditioners,Low,Road,1,2012,6,66
India,Northern,Himachal Pradesh,Shimla,Air Coolers,Low,Road,5,2012,6,77
India,Northern,Delhi,New Delhi,Refrigerators,Express,Air,3,2012,6,5
India,North-Eastern,Mizoram,Aizawl,Air Conditioners,High,Air,1,2012,6,7
India,Northern,Haryana,Faridabad,Air Coolers,Express,Air,4,2012,6,46
India,North-Eastern,Mizoram,Aizawl,Air Purifiers,High,Air,1,2012,6,52
India,Northern,Haryana,Gurgaon,Air Coolers,Express,Air,1,2012,6,36
India,Northern,Punjab,Ludhiana,Water Dispensers,Medium,Rail,0,2012,6,13
India,Western,Gujarat,Surat,Air Coolers,Express,Air,4,2012,6,32
India,Southern,Kerala,Kochi,Refrigerators,Low,Road,4,2012,6,26
India,Central,Uttar Pradesh,Kanpur,Air Coolers,Express,Air,4,2012,6,59
India,Western,Maharashtra,Nagpur,Air Coolers,Express,Air,3,2012,6,53
India,Central,Madhya Pradesh,Jabalpur,Air Conditioners,High,Air,0,2012,6,62
India,Central,Uttarakhand,Haridwar,Water Dispensers,Medium,Rail,0,2012,6,34
India,Southern,Kerala,Kochi,Water Dispensers,Express,Air,0,2012,6,70
India,Western,Goa,Panjim,Air Coolers,Low,Road,0,2012,6,15
India,Western,Goa,Panjim,Refrigerators,Low,Road,2,2012,6,13
India,North-Eastern,Manipur,Imphal,Air Purifiers,Low,Road,3,2012,6,57
India,Eastern,West Bengal,Asansol,Refrigerators,Low,Road,3,2012,6,35
India,North-Eastern,Meghalaya,Shillong,Air Conditioners,Medium,Rail,1,2012,6,14
India,North-Eastern,Mizoram,Aizawl,Air Coolers,Express,Air,3,2012,6,4
India,Southern,Kerala,Thrissur,Water Dispensers,High,Air,5,2012,6,79
India,Western,Maharashtra,Pune,Refrigerators,Medium,Rail,1,2012,6,43
India,Eastern,Odisha,Bhubaneshwar,Air Coolers,Medium,Rail,2,2012,6,40
India,Southern,Telangana,Nizamabad,Air Coolers,Low,Road,0,2012,6,77
India,Southern,Karnataka,Belgaum,Refrigerators,High,Air,5,2012,6,21
India,Central,Uttar Pradesh,Noida,Refrigerators,Low,Road,1,2012,6,60
India,Northern,Rajasthan,Ajmer,Refrigerators,High,Air,3,2012,6,43
India,Western,Dadra and Nagar Haveli and Daman and Diu,Daman,Air Coolers,Medium,Rail,0,2012,6,67
India,Western,Dadra and Nagar Haveli and Daman and Diu,Daman,Air Conditioners,High,Air,4,2012,6,77
India,Southern,Andhra Pradesh,Vijayawada,Water Dispensers,Express,Air,3,2012,6,75
India,Southern,Karnataka,Bengaluru,Air Coolers,Low,Road,0,2012,6,37
India,Western,Maharashtra,Nashik,Air Conditioners,Low,Road,5,2012,6,48
India,Southern,Kerala,Kozhikode,Refrigerators,High,Air,4,2012,6,74
India,Southern,Kerala,Kozhikode,Water Dispensers,Low,Road,5,2012,6,63
India,North-Eastern,Tripura,Agartala,Refrigerators,Express,Air,3,2012,6,23
India,Central,Uttar Pradesh,Kanpur,Water Dispensers,High,Air,0,2012,6,34
India,Central,Madhya Pradesh,Jabalpur,Refrigerators,Low,Road,2,2012,6,50
India,Western,Maharashtra,Nagpur,Air Coolers,High,Air,5,2012,6,79
India,Eastern,Jharkhand,Ranchi,Air Purifiers,Medium,Rail,1,2012,6,73
India,Eastern,Bihar,Darbhanga ,Refrigerators,High,Air,4,2012,6,7
India,Western,Maharashtra,Solapur,Refrigerators,Low,Road,1,2012,6,61
India,Southern,Tamil Nadu,Vellore,Water Dispensers,High,Air,3,2012,6,18
India,Central,Uttar Pradesh,Allahabad,Refrigerators,Express,Air,1,2012,6,22
India,Western,Goa,Panjim,Air Conditioners,High,Air,3,2012,6,10
India,Central,Chhattisgarh,Durg,Refrigerators,Low,Road,2,2012,6,54
India,Eastern,Odisha,Cuttack,Refrigerators,High,Air,4,2012,6,52
India,Northern,Ladakh,Leh,Air Conditioners,Medium,Rail,2,2012,6,7
India,Eastern,West Bengal,Durgapur,Air Conditioners,High,Air,1,2012,6,48
India,Eastern,Jharkhand,Ranchi,Air Coolers,High,Air,3,2012,6,72
India,North-Eastern,Arunachal Pradesh,Itanagar,Water Dispensers,Express,Air,1,2012,6,56
India,North-Eastern,Arunachal Pradesh,Itanagar,Refrigerators,Express,Air,0,2012,6,28
India,Central,Uttarakhand,Roorkee,Air Purifiers,Low,Road,5,2012,6,23
India,Northern,Rajasthan,Ajmer,Air Conditioners,Medium,Rail,1,2012,6,45
India,Southern,Telangana,Warangal,Air Conditioners,Express,Air,3,2012,6,15
India,Southern,Andhra Pradesh,Tirupati,Refrigerators,High,Air,2,2012,6,4
India,Southern,Karnataka,Hubli,Air Coolers,High,Air,3,2012,6,26
India,Central,Chhattisgarh,Bilaspur,Air Conditioners,Express,Air,5,2012,6,75
India,Northern,Delhi,New Delhi,Air Coolers,Medium,Rail,1,2012,7,11
India,Eastern,Odisha,Cuttack,Refrigerators,High,Air,2,2012,7,53
India,Western,Gujarat,Gandhinagar,Air Coolers,Medium,Rail,0,2012,7,74
India,Western,Goa,Panjim,Air Coolers,Medium,Rail,3,2012,7,42
India,Southern,Tamil Nadu,Chennai,Air Conditioners,High,Air,0,2012,7,43
India,Southern,Kerala,Thrissur,Air Coolers,Express,Air,3,2012,7,75
India,Central,Uttarakhand,Roorkee,Water Dispensers,Express,Air,2,2012,7,51
India,Northern,Punjab,Patiala ,Air Purifiers,Medium,Rail,4,2012,7,62
India,Central,Uttar Pradesh,Agra ,Air Coolers,Express,Air,2,2012,7,56
India,Southern,Tamil Nadu,Tiruchirappalli,Air Conditioners,Medium,Rail,4,2012,7,16
India,Southern,Tamil Nadu,Chennai,Refrigerators,Express,Air,5,2012,7,65
India,Central,Uttar Pradesh,Agra ,Refrigerators,Express,Air,4,2012,7,42
India,Central,Uttar Pradesh,Kanpur,Air Coolers,Medium,Rail,4,2012,7,5
India,Western,Gujarat,Vadodara,Refrigerators,Medium,Rail,4,2012,7,38
India,Central,Madhya Pradesh,Jabalpur,Air Coolers,Express,Air,4,2012,7,66
India,Western,Gujarat,Ahmadabad,Refrigerators,Express,Air,3,2012,7,28
India,North-Eastern,Nagaland,Kohima,Air Coolers,Medium,Rail,5,2012,7,52
India,Eastern,West Bengal,Siliguri,Refrigerators,Medium,Rail,3,2012,7,17
India,North-Eastern,Meghalaya,Shillong,Air Purifiers,Low,Road,1,2012,7,79
India,North-Eastern,Manipur,Imphal,Air Coolers,Express,Air,2,2012,7,9
India,Northern,Punjab,Ludhiana,Air Conditioners,Express,Air,5,2012,7,62
India,Eastern,Bihar,Patna,Air Conditioners,Low,Road,0,2012,7,71
India,Eastern,West Bengal,Asansol,Air Conditioners,Express,Air,5,2012,7,35
India,North-Eastern,Assam,Guwahati,Air Conditioners,Low,Road,3,2012,7,53
India,North-Eastern,Assam,Dispur,Air Conditioners,High,Air,2,2012,7,43
India,Central,Madhya Pradesh,Indore,Air Conditioners,Low,Road,1,2012,7,29
India,Southern,Andhra Pradesh,Hyderabad,Air Coolers,Medium,Rail,4,2012,7,53
India,Eastern,West Bengal,Asansol,Air Coolers,Medium,Rail,2,2012,7,22
India,Western,Maharashtra,Pune,Refrigerators,Express,Air,1,2012,7,42
India,Central,Madhya Pradesh,Indore,Refrigerators,High,Air,2,2012,7,32
India,Eastern,Odisha,Puri ,Air Conditioners,Low,Road,0,2012,7,8
India,North-Eastern,Arunachal Pradesh,Itanagar,Refrigerators,High,Air,4,2012,7,48
India,Central,Uttar Pradesh,Lucknow,Refrigerators,High,Air,5,2012,7,16
India,Western,Gujarat,Gandhinagar,Water Dispensers,Low,Road,5,2012,7,7
India,North-Eastern,Assam,Dispur,Water Dispensers,High,Air,1,2012,7,34
India,Western,Gujarat,Vadodara,Air Conditioners,High,Air,5,2012,7,25
India,Southern,Karnataka,Belgaum,Air Coolers,High,Air,2,2012,7,42
India,Eastern,Bihar,Darbhanga ,Refrigerators,Express,Air,4,2012,7,75
India,Southern,Kerala,Thrissur,Refrigerators,Low,Road,5,2012,7,6
India,Southern,Andhra Pradesh,Visakhapatnam,Water Dispensers,Medium,Rail,1,2012,7,54
India,Western,Maharashtra,Nagpur,Refrigerators,High,Air,3,2012,7,79
India,North-Eastern,Assam,Guwahati,Water Dispensers,Express,Air,5,2012,7,56
India,Southern,Andhra Pradesh,Vijayawada,Air Conditioners,Express,Air,1,2012,7,32
India,Central,Chhattisgarh,Bilaspur,Air Coolers,Express,Air,4,2012,7,15
India,Central,Uttar Pradesh,Varanasi,Refrigerators,High,Air,4,2012,7,38
India,Northern,Jammu and Kashmir,Srinagar ,Refrigerators,Express,Air,1,2012,7,70
India,North-Eastern,Nagaland,Kohima,Air Conditioners,Medium,Rail,1,2012,7,44
India,Central,Uttar Pradesh,Kanpur,Refrigerators,High,Air,5,2012,7,13
India,Northern,Rajasthan,Bikaner,Air Conditioners,High,Air,4,2012,7,44
India,Western,Gujarat,Rajkot,Air Conditioners,Medium,Rail,5,2012,7,64
India,Northern,Rajasthan,Jodhpur,Water Dispensers,Low,Road,3,2012,7,12
India,Western,Dadra and Nagar Haveli and Daman and Diu,Daman,Air Conditioners,Medium,Rail,4,2012,7,41
India,Southern,Andhra Pradesh,Tirupati,Air Purifiers,Low,Road,3,2012,7,8
India,Western,Maharashtra,Solapur,Air Conditioners,Medium,Rail,5,2012,7,26
India,Central,Uttar Pradesh,Allahabad,Air Coolers,Medium,Rail,0,2012,7,79
India,Western,Gujarat,Vadodara,Air Conditioners,High,Air,2,2012,7,62
India,Southern,Tamil Nadu,Chennai,Air Conditioners,Express,Air,1,2012,7,80
India,Southern,Tamil Nadu,Chennai,Air Coolers,High,Air,3,2012,7,4
India,Eastern,West Bengal,Durgapur,Refrigerators,Medium,Rail,3,2012,7,18
India,Central,Uttar Pradesh,Lucknow,Air Conditioners,Low,Road,5,2012,7,35
India,Northern,Rajasthan,Bikaner,Air Coolers,Low,Road,5,2012,7,4
India,Western,Maharashtra,Solapur,Air Coolers,High,Air,2,2012,7,46
India,Central,Madhya Pradesh,Jabalpur,Air Coolers,Low,Road,2,2012,7,22
India,Southern,Kerala,Thrissur,Air Conditioners,Express,Air,5,2012,7,10
India,Western,Dadra and Nagar Haveli and Daman and Diu,Daman,Refrigerators,Express,Air,1,2012,7,77
India,Eastern,Odisha,Puri ,Water Dispensers,High,Air,0,2012,7,80
India,Southern,Tamil Nadu,Vellore,Air Coolers,Medium,Rail,4,2012,7,53
India,Central,Madhya Pradesh,Gwalior,Refrigerators,Medium,Rail,2,2012,7,18
India,Southern,Andhra Pradesh,Visakhapatnam,Refrigerators,Low,Road,1,2012,7,43
India,Western,Gujarat,Ahmadabad,Air Purifiers,Express,Air,3,2012,7,26
India,Eastern,Bihar,Darbhanga ,Refrigerators,High,Air,0,2012,7,43
India,Northern,Rajasthan,Ajmer,Air Conditioners,High,Air,2,2012,8,18
India,Western,Gujarat,Surat,Refrigerators,Low,Road,1,2012,8,12
India,Eastern,Odisha,Puri ,Water Dispensers,Medium,Rail,2,2012,8,73
India,Northern,Haryana,Sonipat,Air Coolers,High,Air,4,2012,8,38
India,North-Eastern,Manipur,Imphal,Air Coolers,Medium,Rail,4,2012,8,8
India,Southern,Kerala,Kochi,Water Dispensers,Low,Road,0,2012,8,6
India,Southern,Kerala,Kozhikode,Air Conditioners,Medium,Rail,1,2012,8,74
India,Eastern,Jharkhand,Jamshedpur,Air Coolers,High,Air,0,2012,8,59
India,Central,Uttarakhand,Haridwar,Air Coolers,Express,Air,5,2012,8,15
India,Northern,Rajasthan,Bikaner,Air Coolers,Medium,Rail,0,2012,8,64
India,Southern,Tamil Nadu,Chennai,Air Conditioners,Express,Air,4,2012,8,62
India,Central,Chhattisgarh,Raipur,Refrigerators,High,Air,3,2012,8,18
India,Eastern,West Bengal,Kolkata,Air Coolers,Express,Air,5,2012,8,8
India,Southern,Tamil Nadu,Chennai,Air Purifiers,Medium,Rail,3,2012,8,38
India,Eastern,Jharkhand,Ranchi,Water Dispensers,Medium,Rail,5,2012,8,48
India,North-Eastern,Arunachal Pradesh,Itanagar,Air Coolers,Low,Road,1,2012,8,10
India,Central,Uttarakhand,Haridwar,Refrigerators,Medium,Rail,3,2012,8,59
India,Southern,Karnataka,Mangalore,Refrigerators,Medium,Rail,2,2012,8,50
India,Northern,Haryana,Sonipat,Air Coolers,Medium,Rail,2,2012,8,8
India,Southern,Karnataka,Mysore,Refrigerators,Low,Road,2,2012,8,68
India,Central,Uttarakhand,Dehradun,Air Purifiers,Medium,Rail,1,2012,8,30
India,Southern,Karnataka,Mysore,Air Conditioners,High,Air,1,2012,8,30
India,Western,Gujarat,Gandhinagar,Air Conditioners,Medium,Rail,2,2012,8,74
India,Eastern,Odisha,Cuttack,Air Conditioners,Express,Air,2,2012,8,75
India,Eastern,West Bengal,Asansol,Air Coolers,Medium,Rail,4,2012,8,16
India,Western,Dadra and Nagar Haveli and Daman and Diu,Daman,Air Coolers,Express,Air,1,2012,8,20
India,Northern,Delhi,New Delhi,Refrigerators,Express,Air,2,2012,8,78
India,North-Eastern,Arunachal Pradesh,Itanagar,Air Coolers,Medium,Rail,2,2012,8,16
India,Southern,Kerala,Malappuram,Air Conditioners,Medium,Rail,0,2012,8,68
India,Western,Gujarat,Surat,Air Purifiers,Low,Road,1,2012,8,29
India,Western,Goa,Panjim,Air Conditioners,Low,Road,0,2012,8,42
India,Northern,Jammu and Kashmir,Jammu,Air Coolers,Low,Road,2,2012,8,77
India,Northern,Rajasthan,Udaipur ,Air Coolers,Low,Road,4,2012,8,68
India,Central,Uttar Pradesh,Noida,Air Conditioners,Low,Road,0,2012,8,4
India,Eastern,Odisha,Cuttack,Air Coolers,Express,Air,2,2012,8,48
India,North-Eastern,Arunachal Pradesh,Itanagar,Air Coolers,High,Air,3,2012,8,72
India,Southern,Kerala,Thrissur,Refrigerators,Low,Road,5,2012,8,17
India,Central,Uttar Pradesh,Lucknow,Refrigerators,High,Air,3,2012,8,68
India,Southern,Karnataka,Mangalore,Air Coolers,Low,Road,0,2012,8,60
India,Eastern,West Bengal,Durgapur,Refrigerators,Medium,Rail,0,2012,8,31
India,Central,Madhya Pradesh,Bhopal,Air Coolers,Low,Road,5,2012,8,67
India,North-Eastern,Arunachal Pradesh,Itanagar,Refrigerators,High,Air,1,2012,8,36
India,Southern,Kerala,Thrissur,Air Conditioners,Low,Road,2,2012,8,37
India,Eastern,Jharkhand,Jamshedpur,Air Conditioners,Express,Air,3,2012,8,68
